id;data_acao;usuario_criacao_acao;pendente;data_execucao_acao;ativa;observacoes
1;2022-03-03T06:11:47;Architect COM;false;2022-03-03;false;Bedfordshire
2;2022-03-03T12:12:29;Steel;false;2022-03-03;true;pixel Future-proofed array
3;2022-03-03T02:14:07;Wooden;true;2022-03-03;true;Neck SQL intuitive
4;2022-03-03T00:23:49;Romania parse;false;2022-03-03;true;auxiliary empower Directives
5;2022-03-02T17:29:04;Rustic;false;2022-03-03;false;Louisiana Planner Awesome
6;2022-03-03T12:23:42;purple;true;2022-03-03;true;Personal mobile Tools
7;2022-03-03T07:47:07;Berkshire;true;2022-03-03;false;system
8;2022-03-03T08:47:29;turquoise;false;2022-03-02;false;Account sensor
9;2022-03-03T04:07:39;Human recontextualize Checking;true;2022-03-03;false;protocol Automotive Cambridgeshire
10;2022-03-03T04:26:05;California;false;2022-03-03;false;River JSON
