id;solicitante;anonima;data_solicitacao;endereco_entrega;local_de_entrega;data_aprovacao;aprovado;ativa
1;programming;true;2022-03-02T15:47:08;Producer;copying Rubber;2022-03-02;false;true
2;deploy Slovenia;true;2022-03-02T23:53:55;Concrete Nevada Operations;mindshare District Cambridgeshire;2022-03-02;false;false
3;Iowa auxiliary;true;2022-03-02T21:04:08;Alabama;magnetic;2022-03-03;true;false
4;networks;true;2022-03-02T17:27:34;Intranet Pants auxiliary;Adaptive capability;2022-03-02;true;true
5;blue;true;2022-03-02T15:58:18;orchid;Morocco;2022-03-03;true;false
6;GB intangible;true;2022-03-02T23:28:46;Berkshire Future;Response;2022-03-02;true;true
7;Alabama;true;2022-03-02T15:53:58;Cotton Indiana generation;wireless;2022-03-03;true;false
8;Legacy Berkshire Vision-oriented;true;2022-03-03T01:29:35;networks Fantastic cross-platform;collaborative;2022-03-02;true;false
9;open-source;true;2022-03-03T03:17:29;alliance matrix;multimedia Buckinghamshire Progressive;2022-03-02;false;true
10;Functionality;true;2022-03-03T03:24:21;RSS connect;dynamic invoice Intelligent;2022-03-02;false;false
